hardy,none,none
lonely,attack,defense
adamant,attack,specialAttack
naughty,attack,specialDefense
brave,attack,speed

bold,defense,attack
docile,none,none
impish,defense,specialAttack
lax,defense,specialDefense
relaxed,defense,speed

modest,specialAttack,attack
mild,specialAttack,defense
bashful,none,none
rash,specialAttack,specialDefense
quiet,specialAttack,speed

calm,specialDefense,attack
gentle,specialDefense,defense
careful,specialDefense,specialAttack
quirky,none,none
sassy,specialDefense,speed

timid,speed,attack
hasty,speed,defense
jolly,speed,specialAttack
naive,speed,specialDefense
serious,none,none